[2013-11-10 14:54:59] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 14:56:49] EDIT BookSharing/views/default/library.html: -2
[2013-11-10 14:57:14] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 14:59:48] EDIT BookSharing/views/default/library.html: -1
[2013-11-10 15:00:24] EDIT BookSharing/views/default/library.html: 6
[2013-11-10 15:01:35] EDIT BookSharing/views/default/library.html: 4
[2013-11-10 15:02:03] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:03:25] EDIT BookSharing/views/default/library.html: 2
[2013-11-10 15:03:50] EDIT BookSharing/views/default/library.html: 1
[2013-11-10 15:04:43] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:05:17] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:06:49] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:07:12] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:08:17] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:10:14] EDIT BookSharing/views/default/library.html: 2
[2013-11-10 15:10:38] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:11:16] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:11:38] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:12:10] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:12:46] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:13:26] EDIT BookSharing/views/default/library.html: 1
[2013-11-10 15:14:01] EDIT BookSharing/views/default/library.html: 1
[2013-11-10 15:15:58] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:17:00] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:17:16] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:17:32] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:18:16] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:19:01] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:19:27] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:20:03] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:26:03] EDIT BookSharing/views/default/library.html: -2
[2013-11-10 15:27:09] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:27:56] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:28:15] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:29:17] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:29:35] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:29:58] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:30:15] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:30:31] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:31:11] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:31:33] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:31:54] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:32:13] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:32:53] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:33:58] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:34:25] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:34:41] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:35:14] EDIT BookSharing/views/default/library.html: 1
[2013-11-10 15:35:43] EDIT BookSharing/views/default/library.html: -3
[2013-11-10 15:36:22] EDIT BookSharing/views/default/library.html: 1
[2013-11-10 15:36:38] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:40:19] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:40:43] EDIT BookSharing/views/default/library.html: 3
[2013-11-10 15:47:07] EDIT BookSharing/views/default/library.html: 1
[2013-11-10 15:47:38] EDIT BookSharing/controllers/default.py: 2
[2013-11-10 15:47:48] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 15:48:42] EDIT BookSharing/views/default/library.html: -1
[2013-11-10 15:49:35] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:49:53] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 15:51:25] EDIT BookSharing/controllers/default.py: -2
[2013-11-10 15:52:57] EDIT BookSharing/views/default/library.html: 3
[2013-11-10 15:53:16] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 15:53:19] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 16:03:34] EDIT BookSharing/views/default/library.html: 2
[2013-11-10 16:04:27] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 16:04:52] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 16:05:20] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 16:06:51] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 16:09:26] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 16:10:48] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 16:11:46] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 16:13:15] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 16:16:00] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 16:16:47] EDIT BookSharing/controllers/default.py: 1
[2013-11-10 16:17:23] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 20:35:32] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 20:37:11] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 20:44:15] EDIT BookSharing/models/db.py: 1
[2013-11-10 20:48:29] EDIT BookSharing/controllers/default.py: -1
[2013-11-10 20:49:30] EDIT BookSharing/controllers/default.py: 1
[2013-11-10 20:50:07] EDIT BookSharing/controllers/default.py: 1
[2013-11-10 20:51:04] EDIT BookSharing/controllers/default.py: 1
[2013-11-10 20:52:25] EDIT BookSharing/models/db.py: 0
[2013-11-10 20:52:26] EDIT BookSharing/models/db.py: 0
[2013-11-10 20:52:26] EDIT BookSharing/models/db.py: 0
[2013-11-10 20:52:27] EDIT BookSharing/models/db.py: 0
[2013-11-10 20:56:08] EDIT BookSharing/models/db.py: 0
[2013-11-10 20:57:15] EDIT BookSharing/models/db.py: 0
[2013-11-10 20:59:10] EDIT BookSharing/controllers/default.py: 1
[2013-11-10 20:59:53] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 21:00:25] EDIT BookSharing/controllers/default.py: 2
[2013-11-10 21:01:10] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 21:01:18] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 21:02:06] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 21:02:17] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 21:02:31] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 21:02:40] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 21:02:42] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 21:10:09] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 21:12:31] EDIT BookSharing/views/default/library.html: 3
[2013-11-10 21:12:32] EDIT BookSharing/views/default/library.html: 0
[2013-11-10 21:12:41] EDIT BookSharing/views/default/library.html: 2
[2013-11-10 21:13:37] EDIT BookSharing/controllers/default.py: 1
[2013-11-10 21:14:03] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 21:15:13] EDIT BookSharing/controllers/default.py: 1
[2013-11-10 21:15:51] EDIT BookSharing/controllers/default.py: -1
[2013-11-10 21:17:13] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 21:20:56] EDIT BookSharing/controllers/default.py: 3
[2013-11-10 21:23:30] EDIT BookSharing/controllers/default.py: -1
